full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years_until_retirement
Wilson Chandler,75,#21,Brooklyn Nets,F-G,05/10/1987,6-8 / 2.03,225 lbs. / 102.1 kg.,$2564753,USA,2007,1,23,DePaul,2
Damyean Dotson,75,#21,New York Knicks,G,05/06/1994,6-5 / 1.96,202 lbs. / 91.6 kg.,$1618520,USA,2017,2,44,Houston,9
Kris Dunn,75,#32,Chicago Bulls,G,03/18/1994,6-3 / 1.91,205 lbs. / 93 kg.,$5348007,USA,2016,1,5,Providence,9
Wayne Ellington,75,#2,New York Knicks,G,11/29/1987,6-4 / 1.93,200 lbs. / 90.7 kg.,$8000000,USA,2009,1,28,North Carolina,2
Bryn Forbes,75,#11,San Antonio Spurs,G,07/23/1993,6-2 / 1.88,187 lbs. / 84.8 kg.,$2875000,USA,2016,Undrafted,Undrafted,Michigan State,8
Josh Hart,75,#3,New Orleans Pelicans,G,03/06/1995,6-5 / 1.96,204 lbs. / 92.5 kg.,$1934160,USA,2017,1,30,Villanova,10
John Henson,75,#31,Detroit Pistons,F,12/28/1990,6-9 / 2.06,220 lbs. / 99.8 kg.,$9732396,USA,2012,1,14,North Carolina,5
Mario Hezonja,75,#44,Portland Trail Blazers,F-G,02/25/1995,6-8 / 2.03,201 lbs. / 91.2 kg.,$1737145,Croatia,2015,1,5,No college,10
George Hill,75,#3,Milwaukee Bucks,G,05/04/1986,6-3 / 1.91,180 lbs. / 81.6 kg.,$10133907,USA,2008,1,26,IUPUI,1
Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,01/03/1995,6-6 / 1.98,211 lbs. / 95.7 kg.,$2500000,USA,2015,1,23,Arizona,10
Richaun Holmes,75,#22,Sacramento Kings,F,10/15/1993,6-10 / 2.08,243 lbs. / 110.2 kg.,$4767000,USA,2015,2,37,Bowling Green,8
James Johnson,75,#0,Minnesota Timberwolves,F,02/20/1987,6-7 / 2.01,245 lbs. / 111.1 kg.,$15349400,USA,2009,1,16,Wake Forest,2
Luke Kennard,75,#5,Detroit Pistons,G,06/24/1996,6-5 / 1.96,196 lbs. / 88.9 kg.,$3827160,USA,2017,1,12,Duke,11
Kyle Korver,75,#26,Milwaukee Bucks,F,03/17/1981,6-7 / 2.01,212 lbs. / 96.2 kg.,$6004753,USA,2003,2,51,Creighton,Old
Rodions Kurucs,75,#0,Brooklyn Nets,F,02/05/1998,6-9 / 2.06,215 lbs. / 97.5 kg.,$1699236,Latvia,2018,2,40,No college,13
Jake Layman,75,#10,Minnesota Timberwolves,F,03/07/1994,6-8 / 2.03,209 lbs. / 94.8 kg.,$3581986,USA,2016,2,47,Maryland,9
Robin Lopez,75,#42,Milwaukee Bucks,C,04/01/1988,7-0 / 2.13,255 lbs. / 115.7 kg.,$4767000,USA,2008,1,15,Stanford,3
Trey Lyles,75,#41,San Antonio Spurs,F,11/05/1995,6-9 / 2.06,241 lbs. / 109.3 kg.,$5500000,Canada,2015,1,12,Kentucky,10
Boban Marjanovic,75,#51,Dallas Mavericks,C,08/15/1988,7-4 / 2.24,290 lbs. / 131.5 kg.,$3500000,Serbia,2010,Undrafted,Undrafted,No college,3
TJ McConnell,75,#9,Indiana Pacers,G,03/25/1992,6-1 / 1.85,200 lbs. / 90.7 kg.,$3500000,USA,2015,Undrafted,Undrafted,Arizona,7
Patrick Mills,75,#8,San Antonio Spurs,G,08/11/1988,6-1 / 1.85,185 lbs. / 83.9 kg.,$12678571,Australia,2009,2,55,Saint Mary's,3
Malik Monk,75,#1,Charlotte Hornets,G,02/04/1998,6-3 / 1.91,197 lbs. / 89.4 kg.,$4028400,USA,2017,1,11,Kentucky,13
Markieff Morris,75,#88,Los Angeles Lakers,F,09/02/1989,6-8 / 2.03,245 lbs. / 111.1 kg.,$3709887,USA,2011,1,13,Kansas,4
Shabazz Napier,75,#0,Washington Wizards,G,07/14/1991,6-0 / 1.83,175 lbs. / 79.4 kg.,$1845301,USA,2014,1,24,UConn,6
Cedi Osman,75,#16,Cleveland Cavaliers,F-G,04/08/1995,6-7 / 2.01,215 lbs. / 97.5 kg.,$2907143,Turkey,2015,2,31,No college,10
Tomas Satoransky,75,#31,Chicago Bulls,G,10/30/1991,6-7 / 2.01,198 lbs. / 89.8 kg.,$10000000,Czech,2012,2,32,No college,6
Mike Scott,75,#1,Philadelphia 76ers,F,07/16/1988,6-7 / 2.01,237 lbs. / 107.5 kg.,$4767000,USA,2012,2,43,Virginia,3
Noah Vonleh,75,#0,Denver Nuggets,F,08/24/1995,6-10 / 2.08,247 lbs. / 112 kg.,$2000000,USA,2014,1,9,Indiana,10
Allonzo Trier,75,#0,Free agent,G-F,01/17/1996,6-4 / 1.93,200 lbs. / 90.7 kg.,$3551100,USA,2018,Undrafted,Undrafted,Arizona,11
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,09/28/1995,6-9 / 2.06,220 lbs. / 99.8 kg.,$3321029,Spain,2016,1,15,No college,10
Kyle Anderson,74,#1,Memphis Grizzlies,F,09/20/1993,6-9 / 2.06,230 lbs. / 104.3 kg.,$9073050,USA,2014,1,30,UCLA,8
Jordan Bell,74,#0,Cleveland Cavaliers,F-C,01/07/1995,6-8 / 2.03,224 lbs. / 101.6 kg.,$1870564,USA,2017,2,38,Oregon,10
Khem Birch,74,#24,Orlando Magic,C,09/28/1992,6-9 / 2.06,209 lbs. / 94.8 kg.,$3000000,Canada,2014,Undrafted,Undrafted,UNLV,7
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,01/22/1996,6-7 / 2.01,225 lbs. / 102.1 kg.,$1618520,Canada,2017,2,45,Oregon,11
Reggie Bullock,74,#25,New York Knicks,G,03/16/1991,6-6 / 1.98,200 lbs. / 90.7 kg.,$4000000,USA,2013,1,25,North Carolina,6
Zach Collins,74,#33,Portland Trail Blazers,C,11/17/1997,6-11 / 2.11,232 lbs. / 105.2 kg.,$4240200,USA,2017,1,10,Gonzaga,12
Pat Connaughton,74,#24,Milwaukee Bucks,G,01/06/1993,6-5 / 1.96,215 lbs. / 97.5 kg.,$1723050,USA,2015,2,41,Notre Dame,8
Quinn Cook,74,#2,Los Angeles Lakers,G,03/23/1993,6-1 / 1.85,180 lbs. / 81.6 kg.,$3000000,USA,2015,Undrafted,Undrafted,Duke,8
Torrey Craig,74,#3,Denver Nuggets,G,12/19/1990,6-7 / 2.01,215 lbs. / 97.5 kg.,$2000000,USA,2014,Undrafted,Undrafted,USC Upstate,5
Seth Curry,74,#30,Dallas Mavericks,G,08/23/1990,6-2 / 1.88,180 lbs. / 81.6 kg.,$7461380,USA,2013,Undrafted,Undrafted,Duke,5
